16-11-2016 12:05:50 ERROR Builder:16 - ERRRO
16-11-2016 14:09:58 ERROR Builder:24 - java.lang.NullPointerException
16-11-2016 14:11:34 ERROR Builder:24 - java.lang.NullPointerException
16-11-2016 14:11:34 ERROR Builder:33 - java.lang.NullPointerException
16-11-2016 14:12:44 ERROR Builder:24 - java.lang.NullPointerException
16-11-2016 14:12:44 ERROR Builder:33 - java.lang.NullPointerException
16-11-2016 14:14:11 ERROR Builder:28 - java.lang.NullPointerException
16-11-2016 14:14:11 ERROR Builder:33 - java.lang.NullPointerException
16-11-2016 14:18:30 ERROR Builder:24 - java.lang.NullPointerException
16-11-2016 14:18:30 ERROR Builder:32 - java.lang.NullPointerException
16-11-2016 14:21:25 ERROR Builder:32 - java.lang.NullPointerException
16-11-2016 14:23:53 ERROR Builder:32 - java.lang.NullPointerException
16-11-2016 14:26:46 ERROR Builder:32 - java.lang.NullPointerException
